parlamentarier_anzeige_name,parlamentarier_id,parlamentarier_nachname,parlamentarier_vorname,parlamentarier_zweiter_vorname,parlamentarier_rat,parlamentarier_kanton,parlamentarier_partei,parlamentarier_fraktion,parlamentarier_kommissionen,parlamentarier_im_rat_seit,parlamentarier_im_rat_bis,parlamentarier_geschlecht,parlamentarier_geburtstag,parlamentarier_parlament_biografie_id,parlamentarier_parlament_number,parlamentarier_sprache,parlamentarier_arbeitssprache,interessenbindung_beschreibung,interessenbindung_von,interessenbindung_bis,interessenbindung_art,interessenbindung_funktion_im_gremium,interessenbindung_deklarationstyp,interessenbindung_status,interessenbindung_hauptberuflich,interessenbindung_behoerden_vertreter,interessenbindung_wirksamkeit,organisation_id,verguetung,verguetung_jahr,verguetung_beschreibung,organisation_name_de,organisation_uid,organisation_name_fr,organisation_ort,organisation_rechtsform,organisation_rechtsform_handelsregister,organisation_rechtsform_zefix,organisation_typ,organisation_vernehmlassung,gruppe_spalte,interessengruppe,Hauptcode,Hauptkategorie,Subcode,Subkategorie
"Brenzikofer, Florence",424,Brenzikofer,Florence,Denise,NR,BL,Grüne,G,"Del D-V, KVF-NR",2019-12-09T00:00:00Z,NA,F,1975-04-15T00:00:00Z,4315,3211,de,de,Mitglied,2021-07-05T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Candan, Hasan",449,Candan,Hasan,NA,NR,LU,SP,S,UREK-NR,2023-12-04T00:00:00Z,NA,M,1985-02-24T00:00:00Z,10828,10828,de,de,Mitglied,2024-06-03T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Engler, Stefan",223,Engler,Stefan,Georg,SR,GR,M,M-E,"Bü-SR, Bü-VBV-V, KVF-SR, SPK-SR, UREK-SR",2011-12-05T00:00:00Z,NA,M,1960-05-30T00:00:00Z,4055,2768,rm,de,Mitglied,2021-07-05T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Fässler, Daniel",76,Fässler,Daniel,Karl,SR,AI,M,M-E,"BeK-V, OSZE, RK-SR, SPK-SR, UREK-SR",2011-12-05T00:00:00Z,NA,M,1960-08-22T00:00:00Z,4056,2767,de,de,Präsident,2018-07-09T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,5977,0,2025,Ehrenamtlich,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Gafner, Andreas",376,Gafner,Andreas,NA,NR,BE,EDU,V,"FK-NR, WBK-NR",2019-12-01T00:00:00Z,NA,M,1971-03-31T00:00:00Z,4263,3155,de,de,Mitglied,2024-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Giacometti, Anna",374,Giacometti,Anna,NA,NR,GR,FDP,RL,"Del I-V, FK-NR",2019-10-20T00:00:00Z,NA,F,1961-09-08T00:00:00Z,4265,3157,it,de,Mitglied,2022-06-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Juillard, Charles",402,Juillard,Charles,NA,SR,JU,M,M-E,"APF-V, Del F-V, GPK-S, KVF-SR, SiK-SR",2019-12-02T00:00:00Z,NA,M,1962-12-17T00:00:00Z,4240,3195,fr,fr,Mitglied,2020-11-23T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,0,2025,Ehrenamtlich,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Kamerzin, Sidney",399,Kamerzin,Sidney,NA,NR,VS,M,M-E,"IK-NR, WAK-NR",2019-10-20T00:00:00Z,NA,M,1975-03-19T00:00:00Z,4271,3163,fr,fr,Mitglied,2021-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Knutti, Thomas",452,Knutti,Thomas,NA,NR,BE,SVP,V,SPK-NR,2023-12-04T00:00:00Z,NA,M,1973-03-15T00:00:00Z,10832,10832,de,de,Mitglied,2024-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Nantermod, Philippe",297,Nantermod,Philippe,NA,NR,VS,FDP,RL,"RK-NR, SPK-NR",2015-11-30T00:00:00Z,NA,M,1984-03-27T00:00:00Z,4193,3088,fr,fr,Mitglied,2021-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Nicolet, Jacques",298,Nicolet,Jacques,NA,NR,VD,SVP,V,"Del F-V, FK-NR, RK-NR",2015-11-30T00:00:00Z,NA,M,1965-10-24T00:00:00Z,4168,3089,fr,fr,Mitglied,2021-12-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Page, Pierre-André",299,Page,Pierre-André,NA,NR,FR,SVP,V,"APF-V, APK-NR, Bü-N, Bü-VBV-V, IK-NR",2015-11-30T00:00:00Z,NA,M,1960-04-19T00:00:00Z,4169,3090,fr,fr,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Pahud, Yvan",481,Pahud,Yvan,NA,NR,VD,SVP,V,FK-NR,2023-12-04T00:00:00Z,NA,M,1980-03-09T00:00:00Z,10840,10840,fr,fr,Mitglied,2023-12-05T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Piller Carrard, Valérie",168,Piller Carrard,Valérie,NA,NR,FR,SP,S,"ERD, SGK-NR",2011-12-05T00:00:00Z,NA,F,1978-09-09T00:00:00Z,4109,3009,fr,fr,Mitglied,2021-05-03T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Riem, Katja",444,Riem,Katja,NA,NR,BE,SVP,V,WBK-NR,2023-12-04T00:00:00Z,NA,F,1996-12-26T00:00:00Z,10830,10830,de,de,Mitglied,2024-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Rüegsegger, Hans Jörg",485,Rüegsegger,Hans Jörg,NA,NR,BE,SVP,V,WBK-NR,2023-12-04T00:00:00Z,NA,M,1970-08-02T00:00:00Z,10852,10852,de,de,Mitglied,2024-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Schlatter, Marionna",349,Schlatter,Marionna,NA,NR,ZH,Grüne,G,UREK-NR,2019-12-01T00:00:00Z,NA,F,1980-11-14T00:00:00Z,4288,3180,de,de,Mitglied,2022-12-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Stark, Jakob",384,Stark,Jakob,NA,SR,TG,SVP,V,"BeK-V, FK-SR, KVF-SR, UREK-SR, WBK-SR",2019-10-20T00:00:00Z,NA,M,1958-09-08T00:00:00Z,4241,3196,de,de,Präsident,2024-04-02T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"von Falkenstein, Patricia",430,von Falkenstein,Patricia,Caroline Manuela,NR,BS,LDP,RL,"BeK, GK, GPK-N, RK-N",2021-11-29T00:00:00Z,NA,F,1961-04-11T00:00:00Z,4324,3219,de,de,Mitglied,2022-08-08T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Wandfluh, Ernst",453,Wandfluh,Ernst,NA,NR,BE,SVP,V,WBK-NR,2023-12-04T00:00:00Z,NA,M,1976-11-25T00:00:00Z,10834,10834,de,de,Mitglied,2024-03-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5977,NA,NA,NA,Wald und Holz,NA,Forêt et bois,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Fässler, Daniel",76,Fässler,Daniel,Karl,SR,AI,M,M-E,"BeK-V, OSZE, RK-SR, SPK-SR, UREK-SR",2011-12-05T00:00:00Z,NA,M,1960-08-22T00:00:00Z,4056,2767,de,de,NA,2017-07-01T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,mittel,5172,1,2025,NA,WaldSchweiz - Verband der Waldeigentümer,CHE-106.412.028,ForêtSuisse - Association des propriétaires forestiers,Solothurn,Verein,0109,6,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Giacometti, Anna",374,Giacometti,Anna,NA,NR,GR,FDP,RL,"Del I-V, FK-NR",2019-10-20T00:00:00Z,NA,F,1961-09-08T00:00:00Z,4265,3157,it,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,mittel,5172,1,2024,Bezahlt,WaldSchweiz - Verband der Waldeigentümer,CHE-106.412.028,ForêtSuisse - Association des propriétaires forestiers,Solothurn,Verein,0109,6,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Holz- und Waldwirtschaft,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Rieder, Beat",319,Rieder,Beat,NA,SR,VS,M,M-E,"APK-SR, FK-SR, GK-V, RK-SR, UREK-SR",2015-11-30T00:00:00Z,NA,M,1963-02-12T00:00:00Z,4204,3105,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,nicht-deklariert,0,NA,mittel,5844,3500,2025,NA,Walliser Tourismuskammer,NA,Valais Chambre de Tourisme,Sitten,Verein,NA,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Tourismus/Gastronomie,12,Tourismus,12.1,Tourismusverbände
"Nussbaumer, Eric",161,Nussbaumer,Eric,NA,NR,BL,SP,S,", APK-NR, EFTA/EU",2007-12-03T00:00:00Z,NA,M,1960-07-11T00:00:00Z,3899,2702,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,7632,1,2025,Bezahlt,Wärmeverbund Lehenmatt Birs AG,CHE-497.374.423,NA,Basel,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Energieversorgung,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Andrey, Gerhard",371,Andrey,Gerhard,NA,NR,FR,Grüne,G,"FK-NR, SiK-NR",2019-10-20T00:00:00Z,NA,M,1976-01-21T00:00:00Z,4245,3137,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Bäumle, Martin",51,Bäumle,Martin,Hans,NR,ZH,GLP,GL,UREK-NR,2003-12-01T00:00:00Z,NA,M,1964-06-03T00:00:00Z,1138,2585,de,de,Präsident,2024-04-02T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Büchel, Roland",60,Büchel,Roland,Rino,NR,SG,SVP,V,"APK-NR, Bü-NR, Del FL-V, ERD",2010-03-01T00:00:00Z,NA,M,1965-10-08T00:00:00Z,4025,2740,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Candinas, Martin",65,Candinas,Martin,Anton,NR,GR,M,M-E,"KVF-NR, OSZE, SiK-NR",2011-12-05T00:00:00Z,NA,M,1980-08-20T00:00:00Z,4070,2770,rm,de,Präsident,2023-04-03T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,7833,0,2025,Ehrenamtlich,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Christ, Katja",369,Christ,Katja,NA,NR,BS,GLP,GL,"Bü-N, Bü-VBV-V, Del A-V, GK-V, WBK-NR",2019-12-01T00:00:00Z,NA,F,1972-08-01T00:00:00Z,4252,3144,de,de,Mitglied,2024-01-08T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Egger, Mike",341,Egger,Mike,NA,NR,SG,SVP,V,UREK-NR,2019-03-04T00:00:00Z,NA,M,1992-08-02T00:00:00Z,4229,3130,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Farinelli, Alex",393,Farinelli,Alex,NA,NR,TI,FDP,RL,"FK-NR, KVF-NR",2019-10-20T00:00:00Z,NA,M,1981-12-16T00:00:00Z,4259,3151,it,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Gapany, Johanna",381,Gapany,Johanna,Maeva,SR,FR,FDP,RL,"FK-SR, SGK-SR, WBK-SR",2019-10-20T00:00:00Z,NA,F,1988-07-25T00:00:00Z,4306,3183,fr,fr,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Glättli, Balthasar",98,Glättli,Balthasar,NA,NR,ZH,Grüne,G,"SiK-NR, SPK-NR",2011-12-05T00:00:00Z,NA,M,1972-02-12T00:00:00Z,4093,3003,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Hurter, Thomas",120,Hurter,Thomas,NA,NR,SH,SVP,V,"IPU, KVF-NR, SiK-NR",2007-12-03T00:00:00Z,NA,M,1963-11-01T00:00:00Z,3890,2693,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Imark, Christian",289,Imark,Christian,NA,NR,SO,SVP,V,"KVF-NR, UREK-NR",2015-11-30T00:00:00Z,NA,M,1982-01-29T00:00:00Z,4164,3080,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Juillard, Charles",402,Juillard,Charles,NA,SR,JU,M,M-E,"APF-V, Del F-V, GPK-S, KVF-SR, SiK-SR",2019-12-02T00:00:00Z,NA,M,1962-12-17T00:00:00Z,4240,3195,fr,fr,Mitglied,2024-04-02T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Meier, Andreas",439,Meier,Andreas,NA,NR,AG,M,M-E,"GPK-N, WBK-NR",2023-02-27T00:00:00Z,NA,M,1962-02-11T00:00:00Z,4333,3228,de,de,Mitglied,2023-04-03T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Page, Pierre-André",299,Page,Pierre-André,NA,NR,FR,SVP,V,"APF-V, APK-NR, Bü-N, Bü-VBV-V, IK-NR",2015-11-30T00:00:00Z,NA,M,1960-04-19T00:00:00Z,4169,3090,fr,fr,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Riniker, Maja",415,Riniker,Maja,NA,NR,AG,FDP,RL,"Bü-N, Bü-VBV-V, SiK-NR",2019-12-02T00:00:00Z,NA,F,1978-05-23T00:00:00Z,4313,3209,de,de,Präsidentin,2021-02-02T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,7833,0,2025,Ehrenamtlich,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Roduit, Benjamin",331,Roduit,Benjamin,NA,NR,VS,M,M-E,"Bü-NR, Del F-V, RedK-V, SGK-NR",2018-02-26T00:00:00Z,NA,M,1962-11-22T00:00:00Z,4220,3121,fr,fr,Mitglied,2021-10-01T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Roth Pasquier, Marie-France",417,Roth Pasquier,Marie-France,NA,NR,FR,M,M-E,"KVF-NR, WBK-NR",2019-12-02T00:00:00Z,NA,F,1968-04-25T00:00:00Z,4284,3176,fr,fr,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Rüegger, Monika",379,Rüegger,Monika,NA,NR,OW,SVP,V,"APK-NR, UREK-NR",2019-10-20T00:00:00Z,NA,F,1968-03-25T00:00:00Z,4285,3177,de,de,Präsidentin,2024-04-02T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Salzmann, Werner",301,Salzmann,Werner,NA,SR,BE,SVP,V,"Bü-SR, Bü-VBV-V, GPDel-V, GPK-S, NATO-V, OSZE, PD-OECD-V, SiK-SR, WAK-SR",2015-11-30T00:00:00Z,NA,M,1962-11-05T00:00:00Z,4172,3092,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,Mitglied,2021-03-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,7833,NA,NA,NA,Wasserstoff/Power-to-X,NA,Hydrogène/Power-to-X,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.3,Wasserstoff & Power-to-X
